collection_id,plante_sc,Famille,Genre,Espece,plante_fr,plante_precision,plante_inconnue,plante_caractere,photo_fleur,photo_plante,photo_feuille
16 419,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1505885687465.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505885687465.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505885687465.jpg
16 424,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1505917305047.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505917305047.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505917305047.jpg
16 429,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1505972702273.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505972702273.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1505972702273.jpg
16 445,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506055891628.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506055891628.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506055891628.jpg
16 446,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506062779283.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506062779283.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506062779283.jpg
16 459,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506097921696.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506097921696.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506097921696.jpg
16 466,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506153673159.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506153673159.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506153673159.jpg
16 480,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506185353910.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506185353910.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506185353910.jpg
16 482,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506193762217.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506193762217.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506193762217.jpg
16 504,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506286760200.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506286760200.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506286760200.jpg
16 505,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506316241140.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506316241140.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506316241140.jpg
16 522,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506369411626.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506369411626.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506369411626.jpg
16 526,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506411105460.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506411105460.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506411105460.jpg
16 545,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506495244782.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506495244782.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506495244782.jpg
16 558,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506580793062.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506580793062.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506580793062.jpg
16 565,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506600662097.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506600662097.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506600662097.jpg
16 584,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506677410230.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506677410230.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506677410230.jpg
16 607,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506835810572.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506835810572.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506835810572.jpg
16 621,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506880336466.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506880336466.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506880336466.jpg
16 623,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1506935089112.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506935089112.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1506935089112.jpg
16 637,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1507037168790.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1507037168790.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1507037168790.jpg
16 642,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1507099176765.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1507099176765.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1507099176765.jpg
16 645,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1507117322759.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1507117322759.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1507117322759.jpg
16 663,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1507213697076.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1507213697076.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1507213697076.jpg
