collection_id,plante_sc,Famille,Genre,Espece,plante_fr,plante_precision,plante_inconnue,plante_caractere,photo_fleur,photo_plante,photo_feuille
8 737,Plante inconnue,Orchidaceae,Ophrys,Ophrys apifera,,Ruta graveolens L.,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1527971091639.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527971091639.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1527971091639.jpg
8 740,Plante inconnue,Violaceae,Viola,Viola arvensis,,badasse,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528008537177.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528008537177.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528008537177.jpg
8 742,Plante inconnue,Smilacaceae,Smilax,Smilax aspera,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528009751783.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528009751783.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528009751783.jpg
8 744,Plante inconnue,Ranunculaceae,Aconitum,Aconitum napellus,,Ornithogalum pyrenaicum,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528014062255.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528014062255.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528014062255.jpg
8 751,Plante inconnue,Plumbaginaceae,Limonium,Limonium ramosissimum,,Deutzia perle rose,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528033050581.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528033050581.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528033050581.jpg
8 755,Plante inconnue,Lamiaceae,Ocimum,Ocimum basilicum,,verveine de Buenos Aires,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528041648153.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528041648153.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528041648153.jpg
8 770,Plante inconnue,Fabaceae,Genista,Genista sagittalis,,Oenanthe safranée (Oenanthe crocata),0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528101415439.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528101415439.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528101415439.jpg
8 786,Plante inconnue,Simaroubaceae,Ailanthus,Ailanthus altissima,,acanthe,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528124323495.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528124323495.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528124323495.jpg
8 813,Plante inconnue,Lamiaceae,Ajuga,Ajuga reptans,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528208535259.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528208535259.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528208535259.jpg
8 816,Plante inconnue,Boraginaceae,Lycopsis,Lycopsis arvensis,,Oranger du Mexique - Choisya ternata,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528218361674.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528218361674.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528218361674.jpg
8 824,Plante inconnue,Geraniaceae,Geranium,Geranium robertianum,,Sanguisorbe,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528225527411.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528225527411.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528225527411.jpg
8 828,Plante inconnue,Fabaceae,Vicia,Vicia lutea,,Bryonia dioica Jacq.,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528228323080.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528228323080.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528228323080.jpg
8 829,Plante inconnue,Asteraceae,Jacobaea,Jacobaea maritima,,Stachys lanata Jacquin.,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528228621379.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528228621379.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528228621379.jpg
