insecte_sc,insecte_fr
Valgus hemipterus,La Valgue hémiptère
Ampedus et autres,Les Taupins unis
Hylaeus,Les Abeilles Hylaeus à taches blanches
Trichodes octopunctatus,Le Clairon à 8 points
"Delta, Discoelius, Eumenes",Les Guêpes maçonnes à abdomen long
"Ectophasia, Phasia",Les Tachinaires fauves à abdomen aplati
Anthaxia et autres,Les Buprestes unis brillants
Ceratina,Les Abeilles Ceratina bleutées
Anthaxia,L'Anthaxie demi-cuivrée et autres
Papilio machaon,Le Machaon
"Nomioides, Celhalictus",Les Halictes noir et jaune
Eurydema oleracea,La Punaise du Chou
plusieurs Dasytidae,Les Dasytides bleus et verts
Elateridae,Les Taupins mouchetés
Protaetia,Les Cétoines métalliques unies
Diaea,Les Araignées crabes Diaea
"Ammophila, Hoplammophila",Les Ammophiles
Asilidae,Les Asilides
Curculio et autres,Les Balanins
Clytus et autres,Les Clytes noir et jaune
"Anisoplia, Phyllopertha",Les Hannetons
Graphosoma lineatum,Le Pentatome rayé
Euclidia glyphica,La Doublure jaune
Sphex et autres,Les Sphégiens à abdomen orange et noir
Physophora et autres,Les Ulidides métalliques
Noctuidae,Les Noctuelles
Elateridae,Les Taupins
Zerynthia polyxena,La Diane
Pyrgus et autres,Les Hespéries brunes à taches
Bibio hortulanus,Le Bibion précoce (femelle)
Oedemera,Les Oedemères noirs
Melitaea phoebe,Le Grand Damier
Anthaxia et autres,Les Buprestes unis ternes
Spilostethus saxatilis,La Punaise à damier
Cydnidae,Les Cydnides à motifs
Oedemera,Les Oedemères verts
Pyrochroa serraticornis,Le Cardinal à tête rouge
Phymata crassipes,La Punaise guitare
Andrena morio,L'Andrène noire
Rhagonycha,Les Téléphores fauves à thorax noir
Panorpidae,Les Panorpes
Cydnidae,Les Cydnides unis
Sapygidae,Les Sapygides
Ampedus et autres,Les Taupins rouges
"Phyllobius, Polydrusus",Les Charançons verts
Dinoptera collaris,Le Dinoptère
Cerambyx scopolii,Le Petit Capricorne
Limenitis,Les Sylvains
Tropidothorax leucopterus,La Lygée familière
Sargus et autres,Les Stratiomes métalliques fins
Tephritidae et autres,Les Téphritides sans taches
Labidostomis,Les Labidostomes
Trichodes apiarius,Le Clairon des abeilles
Calameuta pygmaea,Le Céphide à abdomen orange
"Lysandra, Plebejus, Polyommatus",Les Azurés bleus à chevrons oranges
Hemaris fuciformis,Le Sphinx gazé
Chrysididae,Les Chrysides
Chloromyia,Les Chloromyies
Gasteruption,Les Gastéruptions
Anthidium et autres,Les Anthidies
Clytra et autres,Les Clytres et autres
Anthaxia,L'Anthaxie hongroise (mâle) et autres
Pseudophilotes baton,L'Azuré du Thym (femelle)
Melitaea didyma,La Mélitée orangée
Cephidae,Les Céphides (autres)
Scutelleridae,Les Scutellerides
Acmaeops et autres,Les Longicornes rouges au thorax noir
Physocephala,Les Conopides à abdomen rétréci
Himacerus mirmicoides,Le juvénile d'Himacerus
"Cantharis, Obrium et autres",Les Longicornes entièrement fauves
Agapanthia cardui,L'Agapanthie des Chardons
Lycaena,Les Cuivrés
Chiasmia clathrata,Le Géomètre à barreaux
Mycterus,Les Myctères
Dermaptera,Les Perce-oreilles
Zygaena,Les Zygènes à taches simples
Raphidiidae,Les Raphidies
Anthocomus fasciatus,Le Malachide à bandes rouges
Trichopoda pennipes,Le Trichopode
Alosterna tabacicolor,Le Grammoptère couleur de tabac
"Odontomyia, Oplodontha",Les Stratiomes verts
Volucella pellucens,La Volucelle transparente
Cantharis et autres,Les Longicornes noirs au thorax rouge
Rhagium,Les Rhagies
Athalia rosae,L'Athalie des roses
Rhagonycha fulva et autres,Le Téléphore fauve et autres
Cupido et autres,Les Azurés marrons sans chevrons oranges
Byturus tomentosus,Le Byturide aux petits yeux
"Anogcodes, Oedemera",Les Oedemères fauves (Alpes et Pyrénées)
"Anogcodes, Oedemera",Les Oedemères fauves
"Exosoma, Lilioceris lilii",Le Criocère du Lis et autres
Opsilia coerulescens,La Phytoécie bleuâtre
Melitaea et autres,Les Mélitées et Damiers autres
Anoplodera sexguttata,La Lepture à 6 taches
Hoplia argentea,L'Hoplie argentée
Vespa crabro,Le Frelon européen
Volucella inflata,La Volucelle enflée
Rutpela maculata,La Lepture tachetée
Leptura et autres,Les Longicornes à bandes
Panurgus,Les Abeilles Panurgus
Ropalopus et autres,Les Longicornes noirs aux pattes rouges
