Unknown
Miltogramma taeniata
Ctenichneumon panzeri
Aromia moschata
Setina aurita
Chrysops caecutiens
Eristalis nemorum
Oncocera semirubella
Ophonus ardosiacus
Xanthogramma dives
Diacrisia sannio
Arge gracilicornis
Phaneroptera falcata
Nyctia halterata
Heptatoma pellucens
Mesoligia furuncula
Cylindromyia brevicornis
Megophthalmidia crassicornis
Chalcolestes viridis
Agriphila tristella
Pelosia
Chrysolina bankii
Melanostoma scalare
Larinus carlinae
Macrocera phalerata
Ichneumon xanthorius
Ichneumon confusor
Parasyrphus annulatus
Limoniidae
Criorhina ranunculi
Trioza galii
Alticinae
Attagenus punctatus
Adalia decempunctata
Lonchoptera lutea
Chalcosyrphus nemorum
Bibio johannis
Epistrophe melanostoma
Criorhina floccosa
Pipizella
Pipiza bimaculata
Calopteryx virgo
Smaragdina aurita
Panemeria tenebrata
Bruchus affinis
Dichrorampha
Xanthochilus quadratus
Scymnus interruptus
Usia
Leia fascipennis
Empis livida
Proxiandrena
Platycnemis acutipennis
Empis opaca
Macrophya rufipes
Psyllobora vigintiduopunctata
Platypalpus dessarti
Vadonia unipunctata
Sericomyia bombiformis
Parnassius mnemosyne
Opomyza petrei
Rivellia syngenesiae
Chrysoesthia drurella
Apodacra dispar
Paracorymbia fulva
Chrysoteuchia culmella
Empis lutea
Phorocera assimilis
Ochlerotatus geniculatus
Ischnura elegans
Cordulegaster boltonii
Lejogaster metallina
Chrysis viridula
Conocephalus fuscus
Arge berberidis
Endothenia
Coenagrion puella
Leptidea sinapis
Erebia manto
Chlorophorus pilosus
Sphegina clunipes
Sympetrum striolatum
Conocephalus dorsalis
Tebenna micalis
Xylota sylvarum
Agrius convolvuli
Pyrgus sidae
Tachyporus hypnorum
Nephrotoma appendiculata
Atolmis rubricollis
Tachyporus chrysomelinus
Peritrechus gracilicornis
Anisosticta novemdecimpunctata
Gnorimus variabilis
Cucullia chamomillae
Rhogogaster scalaris
Paratenthredo frauenfeldii
Quercusia quercus
Argynnis pandora
Dasytes croceipes
Tenthredo amoena
Melinda viridicyanea
Arge melanochra
Limnophora tigrina
Graphocephala fennahi
Nomophila noctuella
Lissonota cruentator
Deilephila porcellus
"Paidia, Thumatha"
Dinera ferina
Manulea complana
Collita griseola
Metopius citratus
Musca osiris
Clanoptilus rufus
Podagrica fuscipes
Scythris
Hemichroa australis
Ichneumon emancipatus
Udea ferrugalis
Crytea erythraea
Cryptinae
Ancistrocerus
Homalotylus hemipterinus
Anthocomus rufus
Rhodometra sacraria
Cheilosia chloris
Eurytominae
Notostira
Psammotettix
Geomyza
Adelphocoris quadripunctatus
Nematus fagi
Pipiza lugubris
Beosus maritimus
Eupteryx aurata
Utetheisa pulchella
Nephus quadrimaculatus
Zyginidia
Ophion
Longitarsus dorsalis
Ethmia bipunctella
Laspeyria flexula
Laeosopis roboris
Lachnaia paradoxa
Trombidium
Shargacucullia verbasci
Miltogramma oestracea
Haematopota pluvialis
Phlogophora meticulosa
Agriphila
Celonites abbreviatus
Byctiscus
Athalia cordata
Rhagium bifasciatum
Opomyza
Temnothorax
Pachytodes cerambyciformis
Dichrorampha petiverella
Psodos quadrifaria
Oedemera lurida
Serviformica cunicularia
Chlorophorus ruficornis
Hypebaeus albifrons
Hyperaspidini
Laothoe populi
Callimorpha dominula
Chrysopa perla
Psilopa nitidula
Opisthograptis luteolata
Melanargia russiae
Agriphila straminella
Synanthedon myopaeformis
Cyclophora linearia
Nephopterix angustella
Cryptoblabes bistriga
Menophra abruptaria
Noctua janthina
Gelis
Listrodromus nycthemerus
Melangyna compositarum
Ilione albiseta
Mythimna albipuncta
Entomobrya multifasciata
Platypalpus agilis
Tetrops praeustus
Anaspis fasciata
Melanogaster
Basalys
Oedemera virescens
Cryptocephalus moraei
Tachyporus obtusus
Macdunnoughia confusa
Trypetoptera punctulata
Eupteryx decemnotata
Bryotropha desertella
Psallus perrisi
Eclimus gracilis
Quedius lateralis
Opomyza germinationis
Eupteryx melissae
Anaspis costai
Sericomyia silentis
Perilampus aeneus
Lygistopterus sanguineus
Minettia inusta
Scolopostethus decoratus
Brachypalpus laphriformis
Criorhina asilica
Epistrophe eligans
Demetrias atricapillus
Korynetes et autres
Aglaostigma aucupariae
Rhynchites auratus
Papilio alexanor
