insecte_fr,longitude,latitude,annee_collection
Le Frelon asiatique,43.57445271436994,3.8176162246152816,2019
Le Frelon asiatique,48.872590701345615,2.096199989318848,2019
Le Frelon asiatique,43.13903743455404,5.768212080029117,2019
Le Frelon asiatique,48.89674008487111,2.1073794364929204,2019
Le Frelon asiatique,43.500231017615555,6.3619285805743395,2019
Le Frelon européen,45.385021815588196,5.159381263965424,2019
Le Frelon européen,43.13900116108319,5.770377518699093,2019
Le Frelon asiatique,45.66759533537528,0.30530469724879167,2019
Le Frelon asiatique,45.77673095468415,4.85470712184906,2019
Le Frelon asiatique,48.06719658554324,-0.8170161948618881,2019
Le Frelon asiatique,44.003260724180215,4.417657256126405,2019
Le Frelon asiatique,48.21330480075369,-1.6975378990173342,2019
Le Frelon européen,48.055738230702836,-0.8232959328018596,2019
Le Frelon asiatique,48.2134853192543,-1.7025911808013918,2019
